"strain","treatment","background","knockout","Sample","rep","ref_genome","start","stop","locus_tag","gene","counts"
"T7Hi","wt","wt","wt","PA139","4","T7Hi",19847,20240,"T7p41","7.7",572150
"T7Hi","wt","wt","wt","PA139","4","T7Hi",20239,21850,"T7p42","8",2014909
"T7Hi","wt","wt","wt","PA139","4","T7Hi",21949,22873,"T7p43","9",1991295
"T7Hi","wt","wt","wt","PA139","4","T7Hi",22966,24162,"T7p44","10B",5804309
"T7Hi","wt","wt","wt","PA139","4","T7Hi",22966,24004,"T7p45","10A",5276167
"T7Hi","wt","wt","wt","PA139","4","T7Hi",24227,24818,"T7p46","11",215014
"T7Hi","wt","wt","wt","PA139","4","T7Hi",24841,27226,"T7p47","12",667130
"T7Hi","wt","wt","wt","PA139","4","T7Hi",27306,27723,"T7p48","13",144807
"T7Hi","wt","wt","wt","PA139","4","T7Hi",27727,28318,"T7p49","14",440678
"T7Hi","wt","wt","wt","PA139","4","T7Hi",28324,30568,"T7p50","15",1177451
"T7Hi","wt","wt","wt","PA139","4","T7Hi",30594,34551,"T7p51","16",1295932
"T7Hi","wt","wt","wt","PA139","4","T7Hi",34623,36285,"T7p52","17",1304721
"T7Hi","wt","wt","wt","PA139","4","T7Hi",36343,36547,"T7p53","17.5",159672
"T7Hi","wt","wt","wt","PA139","4","T7Hi",36552,36822,"T7p54","18",194471
"T7Hi","wt","wt","wt","PA139","4","T7Hi",36916,37348,"T7p55","18.5",197020
"T7Hi","wt","wt","wt","PA139","4","T7Hi",37031,37283,"T7p56","18.7",141996
"T7Hi","wt","wt","wt","PA139","4","T7Hi",37369,39130,"T7p57","19",924882
"T7Hi","wt","wt","wt","PA139","4","T7Hi",38015,38273,"T7p58","19.2",196026
"T7Hi","wt","wt","wt","PA139","4","T7Hi",38552,38726,"T7p59","19.3",128565
"T7Hi","wt","wt","wt","PA139","4","T7Hi",39388,39538,"T7p60","19.5",472366
"T7Hi","wt","wt","wt","PA148","5","T7Hi",890,1468,"T7p01","0.3",15614
"T7Hi","wt","wt","wt","PA148","5","T7Hi",1277,1433,"T7p02","0.4",5
"T7Hi","wt","wt","wt","PA148","5","T7Hi",1468,3138,"T7p03","0.7",20274
"T7Hi","wt","wt","wt","PA148","5","T7Hi",1495,1639,"T7p04","0.5",0
"T7Hi","wt","wt","wt","PA148","5","T7Hi",1635,1972,"T7p05","0.6B",2
"T7Hi","wt","wt","wt","PA148","5","T7Hi",1635,1797,"T7p06","0.6A",0
"T7Hi","wt","wt","wt","PA148","5","T7Hi",3138,5887,"T7p07","1",75108
"T7Hi","wt","wt","wt","PA148","5","T7Hi",5887,6448,"T7p08","1.2",166206
"T7Hi","wt","wt","wt","PA148","5","T7Hi",6006,6135,"T7p09","1.1",37183
"T7Hi","wt","wt","wt","PA148","5","T7Hi",6448,7588,"T7p10","1.3",287532
"T7Hi","wt","wt","wt","PA148","5","T7Hi",7607,7763,"T7p11","1.4",13197
"T7Hi","wt","wt","wt","PA148","5","T7Hi",7790,7880,"T7p12","1.5",37735
"T7Hi","wt","wt","wt","PA148","5","T7Hi",7905,8166,"T7p13","1.6",82421
"T7Hi","wt","wt","wt","PA148","5","T7Hi",8165,8756,"T7p14","1.7",260670
"T7Hi","wt","wt","wt","PA148","5","T7Hi",8748,8895,"T7p15","1.8",104336
"T7Hi","wt","wt","wt","PA148","5","T7Hi",8897,9092,"T7p16","2",94342
"T7Hi","wt","wt","wt","PA148","5","T7Hi",9157,9856,"T7p17","2.5",334830
"T7Hi","wt","wt","wt","PA148","5","T7Hi",9856,10276,"T7p18","2.8",201023
"T7Hi","wt","wt","wt","PA148","5","T7Hi",10256,10706,"T7p19","3",572918
"T7Hi","wt","wt","wt","PA148","5","T7Hi",10705,11161,"T7p20","3.5",419179
"T7Hi","wt","wt","wt","PA148","5","T7Hi",11224,11590,"T7p21","3.8",12649
"T7Hi","wt","wt","wt","PA148","5","T7Hi",11564,13265,"T7p22","4A",83239
"T7Hi","wt","wt","wt","PA148","5","T7Hi",11634,11757,"T7p23","4.1",7362
"T7Hi","wt","wt","wt","PA148","5","T7Hi",11753,13265,"T7p24","4B",77449
"T7Hi","wt","wt","wt","PA148","5","T7Hi",12987,13326,"T7p25","4.2",51552
"T7Hi","wt","wt","wt","PA148","5","T7Hi",13351,13564,"T7p26","4.3",83439
"T7Hi","wt","wt","wt","PA148","5","T7Hi",13583,13853,"T7p27","4.5",32889
"T7Hi","wt","wt","wt","PA148","5","T7Hi",13926,14334,"T7p28","4.7",22617
"T7Hi","wt","wt","wt","PA148","5","T7Hi",14352,16467,"T7p29","5",120773
"T7Hi","wt","wt","wt","PA148","5","T7Hi",16482,16839,"T7p30","5.3",80017
"T7Hi","wt","wt","wt","PA148","5","T7Hi",16850,17359,"T7p31","5.5-5.7",90329
"T7Hi","wt","wt","wt","PA148","5","T7Hi",16850,17150,"T7p32","5.5",59139
