"","strain","treatment","background","knockout","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","star"
"94","8st-9","8st-9","8st","phi9",12411.8858988972,1.30645943930699,0.241649548057526,5.40642202647936,6.42961986458766e-08,3.21480993229383e-07,"3.8","***"
"95","8st-9","8st-9","8st","phi9",58969.5351316724,1.51144353783974,0.288705741303802,5.23523893572058,1.64771568774948e-07,7.60484163576684e-07,"4.3","***"
"96","8st-9","8st-9","8st","phi9",92878.0209921412,-0.915008513587975,0.182592095109755,-5.01121646606862,5.40870310021238e-07,2.31801561437673e-06,"13","***"
"97","8st-9","8st-9","8st","phi9",45135.5724171598,0.695315510532284,0.142093438988442,4.89336816310598,9.91247245925636e-07,3.96498898370254e-06,"5.7","***"
"98","8st-9","8st-9","8st","phi9",23177.8691977125,1.02151586839669,0.209356332642002,4.879316787343,1.06453960128574e-06,3.99202350482154e-06,"4.7","***"
"99","8st-9","8st-9","8st","phi9",703045.042584718,-0.930323697018056,0.194830395811593,-4.77504392034243,1.79668037916471e-06,6.34122486764014e-06,"15","***"
"100","8st-9","8st-9","8st","phi9",79381.3851686112,0.677448725594907,0.14516549989128,4.66673366676156,3.06025585747193e-06,1.02008528582398e-05,"5.5-5.7","***"
"101","8st-9","8st-9","8st","phi9",243168.67470335,-0.882650919993314,0.193700294664977,-4.55678666632875,5.1942132172357e-06,1.64027785807443e-05,"14","***"
"102","8st-9","8st-9","8st","phi9",303642.214475756,-0.827493472312852,0.182197956837177,-4.54172750714405,5.57951299402578e-06,1.67385389820773e-05,"7.3","***"
"103","8st-9","8st-9","8st","phi9",34549.6001909719,0.716820037161515,0.159108995356883,4.50521377219234,6.63061583716547e-06,1.89446166776156e-05,"5.9","***"
"104","8st-9","8st-9","8st","phi9",933245.86464045,-0.921801042031133,0.210049267111676,-4.38849920643162,1.14135551155258e-05,3.11278775877975e-05,"16","***"
"105","8st-9","8st-9","8st","phi9",142132.28270564,0.783181472183634,0.184412149065367,4.24690822244053,2.16740690368788e-05,5.65410496614229e-05,"5","***"
"106","8st-9","8st-9","8st","phi9",53409.9879834773,0.623168156874458,0.1493562337653,4.17236121428792,3.01459223774766e-05,7.53648059436916e-05,"5.5","***"
"107","8st-9","8st-9","8st","phi9",352342.942024811,-0.811880170462927,0.199934010964685,-4.06074067411338,4.89172819056746e-05,0.000117401476573619,"7","***"
"108","8st-9","8st-9","8st","phi9",50002.3580547115,1.75124674984828,0.43301324832833,4.04432602607209,5.24738565395453e-05,0.000121093515091258,"4.5","***"
"109","8st-9","8st-9","8st","phi9",50397.6568867599,0.58303519052834,0.152846030169964,3.81452622537862,0.000136444447323788,0.000303209882941751,"5.3","***"
"110","8st-9","8st-9","8st","phi9",172013.305164933,0.546719423513202,0.146186942588082,3.73986495533818,0.000184119146322613,0.000394541027834172,"6","***"
"111","8st-9","8st-9","8st","phi9",205666.483251439,-0.774073303098323,0.211931446213073,-3.65247025361248,0.000259729690914784,0.000537371774306451,"6.5","***"
"112","8st-9","8st-9","8st","phi9",65116.7140102183,0.441982503989239,0.128353492641681,3.4434785909808,0.000574282060048977,0.00114856412009795,"1.6","**"
"113","8st-9","8st-9","8st","phi9",225148.629091517,-0.655252819370148,0.197064380339568,-3.32506979821041,0.000883964022753853,0.00171089810855584,"6.7","**"
"114","8st-9","8st-9","8st","phi9",179189.946890234,-1.36811034425308,0.430041844151399,-3.18134238065314,0.00146594268477167,0.00274864253394687,"19.5","**"
"115","8st-9","8st-9","8st","phi9",57272.9725426051,0.567343857632608,0.182421504402146,3.11007114809176,0.00187042284499029,0.00340076880907325,"2","**"
"116","8st-9","8st-9","8st","phi9",160882.870279789,0.513550873317134,0.165604609074869,3.10106630598041,0.00192825107232631,0.0034027960099876,"1.7","**"
"117","8st-9","8st-9","8st","phi9",213683.057837228,0.54636028339734,0.17806174321968,3.06837546077082,0.0021522601716147,0.0036895888656252,"2.5","**"
"118","8st-9","8st-9","8st","phi9",61276.2854775672,0.515553472910079,0.186459337183591,2.76496463356221,0.00569289676221002,0.00948816127035003,"1.8","**"
"119","8st-9","8st-9","8st","phi9",36279.3600344897,0.518306517495111,0.205658750696833,2.52022593611472,0.0117279528191129,0.0190183018688317,"6.3","*"
"120","8st-9","8st-9","8st","phi9",23858.130435222,0.436817640383449,0.176181413753689,2.4793627833759,0.0131617361110295,0.0207816885963624,"0.7","*"
"121","8st-9","8st-9","8st","phi9",1047696.50868411,-0.385996067110563,0.166853213779242,-2.31338706859588,0.0207013674226455,0.0318482575733008,"17","*"
